dateCreated,doccat,doctype,filename,title
09/05/2023 11:15,ascot,factsheet,ASCOT-Factsheet-Apr23.pdf,ASCOT Factsheet Apr23
09/05/2023 11:15,ascot,factsheet,ASCOT-Factsheet_2023-05-09-111532_eaje.pdf,ASCOT Factsheet
11/04/2023 11:47,afund,factsheet,AFUND-Factsheet-Mar23.pdf,AFUND Factsheet Mar23
11/04/2023 11:47,aslit,factsheet,ASLIT-Factsheet-Mar23.pdf,ASLIT Factsheet Mar23
11/04/2023 11:46,ascot,factsheet,ASCOT-Factsheet-Mar23.pdf,ASCOT Factsheet Mar23
07/03/2023 14:37,afund,factsheet,AFUND-Factsheet-Feb23.pdf,AFUND Factsheet Feb23
07/03/2023 14:36,aslit,factsheet,ASLIT-Factsheet-Feb23.pdf,ASLIT Factsheet Feb23
07/03/2023 14:36,ascot,factsheet,ASCOT-Factsheet-Feb23.pdf,ASCOT Factsheet Feb23
07/02/2023 13:35,afund,factsheet,AFUND-Factsheet-Jan23.pdf,AFUND Factsheet Jan23
07/02/2023 13:34,aslit,factsheet,ASLIT-Factsheet-Jan23.pdf,ASLIT Factsheet Jan23
07/02/2023 13:34,ascot,factsheet,ASCOT-Factsheet-Jan23.pdf,ASCOT Factsheet Jan23
23/01/2023 10:11,afund,factsheet,AFUND-Factsheet-Dec22_2023-01-23-101120_byas.pdf,AFUND Factsheet Dec22
23/01/2023 10:11,aslit,factsheet,ASLIT-Factsheet-Dec22_2023-01-23-101107_xdfb.pdf,ASLIT Factsheet Dec22
23/01/2023 10:10,ascot,factsheet,ASCOT-Factsheet-Dec22_2023-01-23-101051_btgh.pdf,ASCOT Factsheet Dec22
09/01/2023 14:12,afund,factsheet,AFUND-Factsheet-Dec22.pdf,AFUND Factsheet Dec22
09/01/2023 14:12,aslit,factsheet,ASLIT-Factsheet-Dec22.pdf,ASLIT Factsheet Dec22
09/01/2023 14:09,ascot,factsheet,ASCOT-Factsheet-Dec22.pdf,ASCOT Factsheet Dec22
07/12/2022 15:00,afund,factsheet,AFUND-Factsheet-Nov22.pdf,AFUND Factsheet Nov22
07/12/2022 15:00,aslit,factsheet,ASLIT-Factsheet-Nov22.pdf,ASLIT Factsheet Nov22
07/12/2022 14:59,ascot,factsheet,ASCOT-Factsheet-Nov22.pdf,ASCOT Factsheet Nov22
08/11/2022 09:55,afund,factsheet,AFUND-Factsheet-Oct22_2022-11-08-095531_dfra.pdf,AFUND Factsheet Oct22
08/11/2022 09:54,ascot,factsheet,ASCOT-Factsheet-Oct22_2022-11-08-095453_mwqx.pdf,ASCOT Factsheet Oct22
07/11/2022 13:55,afund,factsheet,AFUND-Factsheet-Oct22.pdf,AFUND Factsheet Oct22
07/11/2022 13:54,aslit,factsheet,ASLIT-Factsheet-Oct22.pdf,ASLIT Factsheet Oct22
07/11/2022 13:54,ascot,factsheet,ASCOT-Factsheet-Oct22.pdf,ASCOT Factsheet Oct22
07/10/2022 15:06,afund,factsheet,AFUND-Factsheet-Sep22.pdf,AFUND Factsheet Sep22
07/10/2022 15:06,aslit,factsheet,ASLIT-Factsheet-Sep22.pdf,ASLIT Factsheet Sep22
07/10/2022 15:05,ascot,factsheet,ASCOT-Factsheet-Sep22.pdf,ASCOT Factsheet Sep22
07/09/2022 10:34,afund,factsheet,AFUND-Factsheet-Aug22.pdf,AFUND Factsheet Aug22
07/09/2022 10:33,aslit,factsheet,ASLIT-Factsheet-Aug22.pdf,ASLIT Factsheet Aug22
07/09/2022 10:32,ascot,factsheet,ASCOT-Factsheet-Aug22.pdf,ASCOT Factsheet Aug22
05/08/2022 14:29,afund,factsheet,AFUND-Factsheet-Jul22.pdf,AFUND Factsheet Jul22
05/08/2022 14:28,aslit,factsheet,ASLIT-Factsheet-Jul22.pdf,ASLIT Factsheet Jul22
