dateCreated,doccat,doctype,filename,title
08/10/2024 10:11,afund,,AFUND-Prospectus_2024-10-08-101122_bwpz.pdf,AFUND Prospectus
01/10/2024 16:20,stewardship-esg,,Governance-Corporate-Responsibility-2024-FINAL.pdf,Governance Corporate Responsibility 2024 FINAL
01/10/2024 13:05,afund,,AFUND-Bank-Account-Notification-Form_2024-10-01-130530_rzei.pdf,AFUND Bank Account Notification Form
31/07/2024 15:57,afund,,afund0624interim.pdf,Afund0624interim
30/07/2024 13:52,ascot,,ascot0624interim.pdf,Ascot0624interim
30/07/2024 13:31,afund,,AFUND-Application-Pack_2024-07-30-133141_niva.pdf,AFUND Application Pack
30/07/2024 13:31,afund,,AFUND-KIID_2024-07-30-133130_wvco.pdf,AFUND KIID
30/07/2024 13:27,afund,,AFUND-Application-Pack_2024-07-30-132759_tbtk.pdf,AFUND Application Pack
30/07/2024 13:27,afund,,AFUND-KIID_2024-07-30-132719_ctqm.pdf,AFUND KIID
28/06/2024 11:19,aslit,,ASLIT-Announcement-20240628.pdf,ASLIT Announcement 20240628
27/06/2024 11:06,aslit,,ASLIT-Announcement-20240627.pdf,ASLIT Announcement 20240627
26/06/2024 14:19,aslit,,ASLIT-Announcement-20240626.pdf,ASLIT Announcement 20240626
20/06/2024 10:54,aslit,,ASLIT-Announcement-20240620_2024-06-20-105449_oigg.pdf,ASLIT Announcement 20240620
20/06/2024 10:52,aslit,,ASLIT-Announcement-20240620.pdf,ASLIT Announcement 20240620
12/06/2024 08:33,afund,,Investor-Presentation-AFUND-202405-WEBSITE.pdf,Investor Presentation AFUND 202405 WEBSITE
12/06/2024 08:32,ascot,,Investor-Presentation-ASCOT-202405-WEBSITE.pdf,Investor Presentation ASCOT 202405 WEBSITE
30/05/2024 15:08,agvit,,7.-AGVIT-Prospectus_WEB_FINAL_updated-30.5.24.pdf,7 AGVIT Prospectus WEB FINAL updated 30 5 24
28/05/2024 13:23,agvit,,9.-AGVIT-Investor-Disclosure-Document-website-version-FINAL-28.5.24.pdf,9 AGVIT Investor Disclosure Document website version FINAL 28 5 24
28/05/2024 13:17,agvit,,8.-AGVIT-TIMETABLE.pdf,8 AGVIT TIMETABLE
28/05/2024 13:16,agvit,,7.-AGVIT-Prospectus_WEB_FINAL_28.5.24.pdf,7 AGVIT Prospectus WEB FINAL 28 5 24
